ID,Titulo,Autores,Año,DOI,Introduccion,Metodologia,Analisis_Requerimientos,Entorno_Experimental,Tamaño_Dataset,Metricas_Rendimiento,Limitaciones,Discusiones,Implementacion_Software,Conclusion,Referencia_BibTeX,Accuracy_Num,Tipo_Publicacion,Venue,Metodologia_Categorizada,Dataset_Tipo,Metodologia_2x2,Metodologia_3x3,Periodo_Año,Entorno_3x3,Implementacion_Cruce,Limitacion_Cruce
154,DDNet- A Deep Learning Approach to Detect Driver Distraction and Drowsiness,"Prachi Panwar, Prachi Roshan, Rajat Singh, Monika Rai, Asha Rani Mishra, Sansar Singh Chauhan",2022,10.5109/4843120,Road accidents are the main cause of death among the human population.,"CNN (Redes Convolucionales), Deep Learning","Subsequently, to forestall such mishaps and save lives, there is a requirement for a system that detects both distraction and drowsiness for both day and night time.",,,99.95% accuracy,"For this purpose dataset for training as well as for testing were prepared. For training the model, we have used CNN model.",,,"The DDNet deep learning convolutional model accurately detects driver distraction and drowsiness in real-time, achieving 99.95% accuracy on test datasets.","@article{panwar2022ddnet, author={Prachi Panwar and Prachi Roshan and Rajat Singh and Monika Rai and Asha Rani Mishra and Sansar Singh Chauhan}, title={DDNet- A Deep Learning Approach to Detect Driver Distraction and Drowsiness}, journal={Evergreen}, year={2022}, doi={10.5109/4843120}}",99.95,Revista Científica (Journal),Evergreen,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,Otros
155,Attention-based deep neural network for driver behavior recognition,"Weichu Xiao, Hongli Liu, Ziji Ma, Weihong Chen",2022,10.1016/j.future.2022.02.007,,,,,,accuracy of 98.48,,,,"The attention-based deep neural network (ADNet) method achieves a Top-1 accuracy of 98.48% for driver behavior recognition, outperforming state-of-the-art methods in traffic safety.","@article{xiao2022attentionbased, author={Weichu Xiao and Hongli Liu and Ziji Ma and Weihong Chen}, title={Attention-based deep neural network for driver behavior recognition}, journal={Future Gener. Comput. Syst.}, year={2022}, doi={10.1016/j.future.2022.02.007}}",98.48,Revista Científica (Journal),Future Gener. Comput. Syst.,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,No especificado
156,Research on Pedestrian Detection and DeepSort Tracking in Front of Intelligent Vehicle Based on Deep Learning,"Xuewen Chen, Yuan Jia, Xiaoqi Tong, Zirou Li",2022,10.3390/su14159281,"In order to improve the tracking failure caused by small-target pedestrians and partially blocked pedestrians in dense crowds in complex environments, a pedestrian target detection and tracking method for an intelligent vehicle was proposed based on deep learning. The verification results showed that the improved model can improve the detection accuracy of small-target pedestrians, effectively deal with the problem of target occlusion, reduce the rate of missed detection and false detection of pedestrian targets, and improve the tracking failure caused by occlusion.","YOLO, Deep Learning",,,,,"The verification results showed that the improved model can improve the detection accuracy of small-target pedestrians, effectively deal with the problem of target occlusion, reduce the rate of missed detection and false detection of pedestrian targets, and improve the tracking failure caused by occlusion.",,,"The improved YOLO pedestrian detection model and DeepSort pedestrian tracking method can effectively detect small-target pedestrians, reduce missed detection, and improve tracking failure caused by occlusion in dense crowds.","@article{chen2022research, author={Xuewen Chen and Yuan Jia and Xiaoqi Tong and Zirou Li}, title={Research on Pedestrian Detection and DeepSort Tracking in Front of Intelligent Vehicle Based on Deep Learning}, journal={Sustainability}, year={2022}, doi={10.3390/su14159281}}",,Revista Científica (Journal),Sustainability,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,Otros
157,A computer vision‐based deep learning model to detect wrong‐way driving using pan–tilt–zoom traffic cameras,"A. Haghighat, Anand Sharma",2022,10.1111/mice.12819,"Hundreds of fatal accidents occur each year due to wrong‐way driving (WWD). Although several methods have been developed to detect WWD using existing closed‐circuit television (CCTV) data, they all require manual recalibration whenever a camera rotates, and are thus not scalable across statewide CCTV networks.",Deep Learning,,Videovigilancia / CCTV,,,"Due to its cheap computational cost and high error tolerance, our solution is easily scalable for statewide surveillance on a real‐time basis to help decision‐makers reduce fatalities due to WWD.",,CCTV / Cámaras,"Our deep learning model can effectively detect wrong-way driving using traffic cameras, with a precision of 0.99 and a recall of 0.97, making it scalable for statewide surveillance.","@article{haghighat2022computer, author={A. Haghighat and Anand Sharma}, title={A computer vision‐based deep learning model to detect wrong‐way driving using pan–tilt–zoom traffic cameras}, journal={Computer‐Aided Civil and Infrastructure Engineering}, year={2022}, doi={10.1111/mice.12819}}",,Revista Científica (Journal),Computer‐Aided Civil and Infrastructure Engineering,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Cámaras (CCTV),Cámaras / CCTV,Otros
158,A smart analysis of driver fatigue and drowsiness detection using convolutional neural networks,"Abid Ali Minhas, Sohail Jabbar, Muhammad Farhan, M. Najam ul Islam",2022,10.1007/s11042-022-13193-4,"The increasing road accident rate is due to driver drowsiness, such as fatigue and insomnia. A research project has been initiated in the Kingdom of Saudi Arabia to address the problem of identifying the driver's drowsiness state.","CNN (Redes Convolucionales), ResNet, Deep Learning",,,,93.69% accuracy,,"So, the ResNet50 model has the best accuracy as compared to all other deep learning models. The ResNet50 model accurately detects driver drowsiness and fatigue in real-time, with 93.69% accuracy compared to other deep learning models.",,"The ResNet50 model accurately detects driver drowsiness and fatigue in real-time, with 93.69% accuracy compared to other deep learning models.","@article{minhas2022smart, author={Abid Ali Minhas and Sohail Jabbar and Muhammad Farhan and M. Najam ul Islam}, title={A smart analysis of driver fatigue and drowsiness detection using convolutional neural networks}, journal={Multimedia Tools and Applications}, year={2022}, doi={10.1007/s11042-022-13193-4}}",93.69,Revista Científica (Journal),Multimedia Tools and Applications,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
159,Object Detection of Pedestrian Crossing Accident Using Deep Convolutional Neural Networks,"Anan Yasamorn, Athasit Wongcharoen, C. Joochim",2022,10.1109/ri2c56397.2022.9910331,This paper proposes the pedestrian crossing accident dataset for the detection of pedestrian crossing accidents using a video camera of front cars or dash-camera and a few CCTV videos.,"YOLOv3, Faster R-CNN, CNN (Redes Convolucionales), Deep Learning",,Videovigilancia / CCTV,,,,"However, the conclusion of the paper is that YOLOv3 outperforms speed to detection and has good accuracy same time able to use in real-time detection. This paper demonstrates that Faster RCNN outperforms YOLOv3 with a better detection in accuracy. Faster R-CNN outperforms YOLOv3 in accuracy for detecting pedestrian crossing accidents, but YOLOv3 outperforms Faster RCNN in speed for real-time detection.",CCTV / Cámaras,"Faster R-CNN outperforms YOLOv3 in accuracy for detecting pedestrian crossing accidents, but YOLOv3 outperforms Faster RCNN in speed for real-time detection.","@inproceedings{yasamorn2022object, author={Anan Yasamorn and Athasit Wongcharoen and C. Joochim}, title={Object Detection of Pedestrian Crossing Accident Using Deep Convolutional Neural Networks}, booktitle={2022 Research, Invention, and Innovation Congress: Innovative Electricals and Electronics (RI2C)}, year={2022}, doi={10.1109/ri2c56397.2022.9910331}}",,Conferencia (Conference),"2022 Research, Invention, and Innovation Congress: Innovative Electricals and Electronics (RI2C)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Cámaras (CCTV),Cámaras / CCTV,No especificado
160,Automatic detection system of speed violations in a traffic based on deep learning technique,"J. Cypto, P. Karthikeyan",2022,10.3233/jifs-220577,"With the growth in vehicular traffic, there is a greater risk of road accidents. Over speeding, intoxicated driving, driver distractions, red-light runners, ignoring safety equipment such as seat belts and helmets, non-adherence to lane driving, and improper overtaking are the leading causes of accidents.","YOLO, Deep Learning",,,,,,"Furthermore, the proposed technique was compared to recent existing results. The proposed deep learning-based traffic speed violation detection system has an accuracy rate of 98.8% for speed violation detection and 99.3% for license plate number identification compared to existing methods.",,The proposed deep learning-based traffic speed violation detection system has an accuracy rate of 98.8% for speed violation detection and 99.3% for license plate number identification compared to existing methods.,"@article{cypto2022automatic, author={J. Cypto and P. Karthikeyan}, title={Automatic detection system of speed violations in a traffic based on deep learning technique}, journal={Journal of Intelligent & Fuzzy Systems}, year={2022}, doi={10.3233/jifs-220577}}",,Revista Científica (Journal),Journal of Intelligent & Fuzzy Systems,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
161,Detection of Unauthorized Unmanned Aerial Vehicles Using YOLOv5 and Transfer Learning,"Nader Al-Qubaydhi, Abdulrahman Alenezi, Turki Alanazi, Abdulrahman Senyor, Naif Alanezi, Bandar Alotaibi, M. Alotaibi, Abdul Razaque, A. Abdelhamid, Aziz Alotaibi",2022,10.3390/electronics11172669,Drones/unmanned aerial vehicles (UAVs) have recently grown in popularity due to their inexpensive cost and widespread commercial use. The increased use of drones raises the possibility that they may be employed in illicit activities such as drug smuggling and terrorism.,YOLOv5,,UAV / Drones,,,One of the most challenging difficulties in drone detection in surveillance videos is the apparent likeness of drones against varied backdrops. The transfer learning to pretrain the model is employed for improving performance due to an insufficient number of samples in our dataset.,,,"YOLOv5 and transfer learning effectively detect unauthorized drones in restricted areas, improving loss value, drone location detection, precision, and recall.","@article{alqubaydhi2022unauthorized, author={Nader Al-Qubaydhi and Abdulrahman Alenezi and Turki Alanazi and Abdulrahman Senyor and Naif Alanezi and Bandar Alotaibi and M. Alotaibi and Abdul Razaque and A. Abdelhamid and Aziz Alotaibi}, title={Detection of Unauthorized Unmanned Aerial Vehicles Using YOLOv5 and Transfer Learning}, journal={Electronics}, year={2022}, doi={10.3390/electronics11172669}}",,Revista Científica (Journal),Electronics,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Drones / UAV,No especificado,Otros
162,Intelligent Detection of Vehicle Driving Safety Based on Deep Learning,Deyun Wang,2022,10.1155/2022/1095524,"With the continuous increase in the number of cars, traffic safety problems are also becoming more and more serious, whether the driver wears a seat belt to protect the driver’s personal safety so that the problem can be solved in the event of a traffic accident.","YOLO, SSD, CNN (Redes Convolucionales), Deep Learning",,,,"79.6% accuracy, 99.96% accuracy, accuracy of 94.87, 73 FPS, 305 FPS",,"When the image resolution is consistent with the feature extraction model, the average accuracy of Deconv-SSD is compared with the original SSD algorithm in the PASCALVOC public dataset, from 77.2% to 79.6%.",,"Deep learning algorithms improve vehicle detection, driver area localization, and seat belt detection in traffic accidents, with Deconv-SSD achieving 79.6% accuracy and Squeeze-YOLO reaching 99.96% accuracy.","@article{wang2022intelligent, author={Deyun Wang}, title={Intelligent Detection of Vehicle Driving Safety Based on Deep Learning}, journal={Wireless Communications and Mobile Computing}, year={2022}, doi={10.1155/2022/1095524}}",94.87,Revista Científica (Journal),Wireless Communications and Mobile Computing,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
163,Automatic Traffic Red-Light Violation Detection Using AI,"L. Q. Thao, Duong Duc Cuong, Nguyen Tuan Anh, Pham Ho Mai Anh, Ha Minh Duc, Nguyen Minh",2022,10.18280/isi.270109,Our research is the design of a traffic signal violation detection system using machine learning that learns to prevent the increasing number of road accidents.,"YOLOv5, Machine Learning",,,,"86% accuracy, accuracy of 82","By modifying some parameters in the YOLOV5s and re-training the COCO dataset, we can create a model which can be predicted with a high accuracy of 82% for vehicle identification, 90% for traffic signal status change and up to 86% for violation detection.",,,"Our traffic signal violation detection system using machine learning accurately detects red light violations with up to 86% accuracy, aiding traffic police in traffic management.","@article{thao2022automatic, author={L. Q. Thao and Duong Duc Cuong and Nguyen Tuan Anh and Pham Ho Mai Anh and Ha Minh Duc and Nguyen Minh}, title={Automatic Traffic Red-Light Violation Detection Using AI}, journal={Ingénierie des systèmes d information}, year={2022}, doi={10.18280/isi.270109}}",82.0,Revista Científica (Journal),Ingénierie des systèmes d information,Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,Otros
164,Driver Fatigue and Distracted Driving Detection Using Random Forest and Convolutional Neural Network,"Bing-Ting Dong, Huei-Yung Lin, Chin-Chen Chang",2022,10.3390/app12178674,Driver fatigue and distracted driving are the two most common causes of major accidents.,"CNN (Redes Convolucionales), Random Forest",,,,,,"Compared with existing methods, our approach is more accurate and efficient.",Sistemas Embebidos,"Our approach using vision-based techniques effectively detects driver fatigue and distracted driving behaviors in real-time, improving safety in intelligent vehicles.","@article{dong2022fatigue, author={Bing-Ting Dong and Huei-Yung Lin and Chin-Chen Chang}, title={Driver Fatigue and Distracted Driving Detection Using Random Forest and Convolutional Neural Network}, journal={Applied Sciences}, year={2022}, doi={10.3390/app12178674}}",,Revista Científica (Journal),Applied Sciences,Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,Otros,No especificado
165,Detection of Two-Wheeler Traffic Rule Violation Using Deep Learning,"M. Arshad, P. Kumar",2022,10.1109/aic55036.2022.9848979,Computer vision has become a potential research area due to its diverse applications. Object detection is probably the most challenging and complex well-known problem in computer vision.,"YOLOv5, RetinaNet, Deep Learning",,,,"92.6% accuracy, accuracy of 92.6","Object detection is probably the most challenging and complex well-known problem in computer vision. Using pre-trained YOLOv5 model weights, an accuracy of 92.6% was recorded, proving the effectiveness of helmet detection.",,,"YOLOv5 model effectively detects two-wheeler traffic rule violations, with a 92.6% accuracy in helmet detection.","@inproceedings{arshad2022twowheeler, author={M. Arshad and P. Kumar}, title={Detection of Two-Wheeler Traffic Rule Violation Using Deep Learning}, booktitle={2022 IEEE World Conference on Applied Intelligence and Computing (AIC)}, year={2022}, doi={10.1109/aic55036.2022.9848979}}",92.6,Conferencia (Conference),2022 IEEE World Conference on Applied Intelligence and Computing (AIC),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,Otros
166,Anomaly Detection in Traffic Surveillance Videos Using Deep Learning,"Sardar Waqar Khan, Qasim Hafeez, Roobaea Alroobaea, Saddam Hussain, Jawaid Iqbal, Jasem Almotiri, Syed Sajid Ullah",2022,10.3390/s22176563,"The detection and recognition of abnormal activity in a real-world environment is a big challenge, as there can be many types of alarming and abnormal activities, such as theft, violence, and accidents. This research deals with accidents in traffic videos.","CNN (Redes Convolucionales), Deep Learning",,Videovigilancia / CCTV,,accuracy of 82,"In the training of the CNN model, a vehicle accident image dataset (VAID), composed of images with anomalies, was constructed and used. For testing the proposed methodology, the trained CNN model was checked on multiple videos, and the results were collected and analyzed.",,CCTV / Cámaras,The proposed method using convolutional neural networks (CNNs) and a rolling prediction algorithm effectively detects traffic accidents with an accuracy of 82% in surveillance videos.,"@article{khan2022anomaly, author={Sardar Waqar Khan and Qasim Hafeez and Roobaea Alroobaea and Saddam Hussain and Jawaid Iqbal and Jasem Almotiri and Syed Sajid Ullah}, title={Anomaly Detection in Traffic Surveillance Videos Using Deep Learning}, journal={Sensors (Basel, Switzerland)}, year={2022}, doi={10.3390/s22176563}}",82.0,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Cámaras (CCTV),Cámaras / CCTV,Otros
167,Real-Time Accident Detection in Traffic Surveillance Using Deep Learning,"Hadi Ghahremannezhad, Hang Shi, Chengjun Liu",2022,10.1109/ist55454.2022.9827736,"Automatic detection of traffic accidents is an important emerging topic in traffic monitoring systems. In particular, trajec-tory conflicts, including near-accidents and accidents occurring at urban intersections are detected with a low false alarm rate and a high detection rate.","YOLOv4, Deep Learning",,Videovigilancia / CCTV,,,"A new cost function is applied for object association to accommodate for occlusion, overlapping objects, and shape changes in the object tracking step. In particular, trajec-tory conflicts, including near-accidents and accidents occurring at urban intersections are detected with a low false alarm rate and a high detection rate.",,CCTV / Cámaras,The proposed framework effectively detects traffic accidents at intersections with a low false alarm rate and high detection rate using deep learning techniques.,"@inproceedings{ghahremannezhad2022realtime, author={Hadi Ghahremannezhad and Hang Shi and Chengjun Liu}, title={Real-Time Accident Detection in Traffic Surveillance Using Deep Learning}, booktitle={2022 IEEE International Conference on Imaging Systems and Techniques (IST)}, year={2022}, doi={10.1109/ist55454.2022.9827736}}",,Conferencia (Conference),2022 IEEE International Conference on Imaging Systems and Techniques (IST),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Cámaras (CCTV),Cámaras / CCTV,Otros
168,Traffic sign recognition based on deep learning,"Yanzhao Zhu, Wei Yan",2022,10.1007/s11042-022-12163-0,"How to eliminate the interference due to various environmental factors, carry out accurate and efficient traffic sign detection and recognition, is a key technical problem. However, traditional visual object recognition mainly relies on visual feature extraction, e.g., color and edge, which has limitations.","YOLOv5, SSD, CNN (Redes Convolucionales), Deep Learning",,,,"90.14% mAP, 97.70% mAP","However, traditional visual object recognition mainly relies on visual feature extraction, e.g., color and edge, which has limitations.","YOLOv5 outperforms SSD in traffic sign recognition accuracy and speed, achieving 97.70% mAP@0.5 for all classes compared to 90.14% for SSD. Meanwhile, regarding recognition speed, YOLOv5 also outperforms SSD.",,"YOLOv5 outperforms SSD in traffic sign recognition accuracy and speed, achieving 97.70% mAP@0.5 for all classes compared to 90.14% for SSD.","@article{zhu2022traffic, author={Yanzhao Zhu and Wei Yan}, title={Traffic sign recognition based on deep learning}, journal={Multimedia Tools and Applications}, year={2022}, doi={10.1007/s11042-022-12163-0}}",,Revista Científica (Journal),Multimedia Tools and Applications,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,Otros
169,Automatic driver distraction detection using deep convolutional neural networks,"M. Hossain, Md Ataur Rahman, Md. Manowarul Islam, Arnisha Akhter, Md. Ashraf Uddin, B. K. Paul",2022,10.1016/j.iswa.2022.200075,,"CNN (Redes Convolucionales), MobileNet",,,,,,,,"The MobileNetV2 model effectively detects distracted drivers and identifies causes like talking, sleeping, or eating using face and hand localization.","@article{hossain2022automatic, author={M. Hossain and Md Ataur Rahman and Md. Manowarul Islam and Arnisha Akhter and Md. Ashraf Uddin and B. K. Paul}, title={Automatic driver distraction detection using deep convolutional neural networks}, journal={Intell. Syst. Appl.}, year={2022}, doi={10.1016/j.iswa.2022.200075}}",,Revista Científica (Journal),Intell. Syst. Appl.,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
170,Cars and distraction: How to address the limits of Driver Monitoring Systems and improve safety benefits using evidence from German young drivers,"Tim Jannusch, D. Shannon, Michaele Völler, Finbarr Murphy, Martin Mullins",2021,10.1016/j.techsoc.2021.101628,,,,,,,,,,Driver Monitoring Systems (DMS) should be enhanced with cameras and acoustic sensors to address the complex distractions faced by young drivers.,"@article{jannusch2021cars, author={Tim Jannusch and D. Shannon and Michaele Völler and Finbarr Murphy and Martin Mullins}, title={Cars and distraction: How to address the limits of Driver Monitoring Systems and improve safety benefits using evidence from German young drivers}, journal={Technology in Society}, year={2021}, doi={10.1016/j.techsoc.2021.101628}}",,Revista Científica (Journal),Technology in Society,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,No especificado
171,Understanding Driving Distractions: A Multimodal Analysis on Distraction Characterization,"Michalis Papakostas, Kais Riani, A. Gasiorowski, Y. Sun, M. Abouelenien, Rada Mihalcea, Mihai Burzo",2021,10.1145/3397481.3450635,Distracted driving is a leading cause of accidents worldwide. The tasks of distraction detection and recognition have been traditionally addressed as computer vision problems.,,,,45 subjects,,,,,"Multimodal datasets, including visual and physiological data, can effectively identify different types of driving distractions and improve distraction detection and recognition.","@inproceedings{papakostas2021understanding, author={Michalis Papakostas and Kais Riani and A. Gasiorowski and Y. Sun and M. Abouelenien and Rada Mihalcea and Mihai Burzo}, title={Understanding Driving Distractions: A Multimodal Analysis on Distraction Characterization}, booktitle={Proceedings of the 26th International Conference on Intelligent User Interfaces}, year={2021}, doi={10.1145/3397481.3450635}}",,Conferencia (Conference),Proceedings of the 26th International Conference on Intelligent User Interfaces,Sin especificar,Sujetos Humanos,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,No especificado
172,Cognitive Distraction State Recognition of Drivers at a Nonsignalized Intersection in a Mixed Traffic Environment,"Qiang Hua, Lisheng Jin, Yuying Jiang, Ming Gao, Baicang Guo",2021,10.1155/2021/6676807,"Distracted driving has become a growing traffic safety concern. Potential applications of this model include distraction alarm and autonomous driving assistance systems, which could avoid road traffic accidents.","LSTM, Bi-LSTM, SVM",,,,,Related driving performance and eye movement data were collected to train and test the Bi-LSTM with attention mechanism model.,"Compared with the support vector machine (SVM) model, its recognition accuracy rate is 94.33%, which is 3.83% higher than that of the SVM in the total event, which has reasonable applicability for distraction recognition in a mixed traffic environment.",,"The Bi-LSTM with attention mechanism model accurately recognizes cognitive distractions in mixed traffic environments, potentially benefiting distraction alarms and autonomous driving assistance systems.","@article{hua2021cognitive, author={Qiang Hua and Lisheng Jin and Yuying Jiang and Ming Gao and Baicang Guo}, title={Cognitive Distraction State Recognition of Drivers at a Nonsignalized Intersection in a Mixed Traffic Environment}, journal={Advances in Civil Engineering}, year={2021}, doi={10.1155/2021/6676807}}",,Revista Científica (Journal),Advances in Civil Engineering,Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,Otros
173,Method For Detecting Violation at a Pedestrian Crossing Using a Convolutional Neuaral Network,"V. Fedosov, S. R. Ibadov, R. R. Ibadov, S. Kucheryavenko",2021,10.1109/rsemw52378.2021.9494089,This article describes the relevance of developing methods and systems for detection photo-video violations of the Rules of the road.,"YOLO, CNN (Redes Convolucionales)",,,,,,,,"Using a convolutional neural network, we can detect photo-video violations of the Rules of the Road by detecting pedestrian crossings, vehicles, and human crossings, and comparing their paths to determine if there has been a violation.","@article{fedosov2021method, author={V. Fedosov and S. R. Ibadov and R. R. Ibadov and S. Kucheryavenko}, title={Method For Detecting Violation at a Pedestrian Crossing Using a Convolutional Neuaral Network}, journal={2021 Radiation and Scattering of Electromagnetic Waves (RSEMW)}, year={2021}, doi={10.1109/rsemw52378.2021.9494089}}",,Revista Científica (Journal),2021 Radiation and Scattering of Electromagnetic Waves (RSEMW),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
174,Risky Driving Behavior Recognition Based on Vehicle Trajectory,"Shengdi Chen, Qingwen Xue, Xiaochen Zhao, Yingying Xing, J. Lu",2021,10.3390/ijerph182312373,This paper proposes a measurement of risk (MOR) method to recognize risky driving behavior based on the trajectory data extracted from surveillance videos.,,,UAV / Drones,,,"In addition, the difference between the proportion of recognized risky driving behavior in the testing dataset compared with that in the training dataset is limited to less than 3.5%.","In addition, the difference between the proportion of recognized risky driving behavior in the testing dataset compared with that in the training dataset is limited to less than 3.5%.",,"The proposed MOR method accurately recognizes risky driving behavior in surveillance videos, with 91% and 86% recognition accuracy, considering vehicle types and collision risk.","@article{chen2021risky, author={Shengdi Chen and Qingwen Xue and Xiaochen Zhao and Yingying Xing and J. Lu}, title={Risky Driving Behavior Recognition Based on Vehicle Trajectory}, journal={International Journal of Environmental Research and Public Health}, year={2021}, doi={10.3390/ijerph182312373}}",,Revista Científica (Journal),International Journal of Environmental Research and Public Health,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,Drones / UAV,No especificado,Otros
175,Driver behaviour detection using 1D convolutional neural networks,"M. Shahverdy, M. Fathy, R. Berangi, M. Sabokrou",2021,10.1049/ell2.12076,Driver behaviour is an important factor in road safety. The violation of privacy and the possibility of spooﬁng are two continuing challenges in camera-based systems.,CNN (Redes Convolucionales),,,,accuracy of 99.999,The violation of privacy and the possibility of spooﬁng are two continuing challenges in camera-based systems.,,,"Our 1D Convolutional Neural Network effectively detects driver behavior, classifying it into five classes (safe, distracted, aggressive, drunk, and drowsy), with an accuracy of 99.999%.","@article{shahverdy2021behaviour, author={M. Shahverdy and M. Fathy and R. Berangi and M. Sabokrou}, title={Driver behaviour detection using 1D convolutional neural networks}, journal={Electronics Letters}, year={2021}, doi={10.1049/ell2.12076}}",99.999,Revista Científica (Journal),Electronics Letters,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,Otros
176,Assessment of the Influence of Technology-Based Distracted Driving on Drivers’ Infractions and Their Subsequent Impact on Traffic Accidents Severity,"S. García-Herrero, J. Febres, Wafa Boulagouas, J. M. Gutiérrez, Miguel Angel MARISCAL SALDAÑA",2021,10.3390/ijerph18137155,"Multitasking while driving negatively affects driving performance and threatens people's lives every day. Moreover, technology-based distractions are among the top driving distractions that are proven to divert the driver's attention away from the road and compromise their safety.",,,,,,,,,"Technology-based distractions increase the likelihood of committing infractions and speeding, with young drivers, motorcycles, and squad riders being particularly affected, and these infractions leading to serious injuries.","@article{garcaherrero2021assessment, author={S. García-Herrero and J. Febres and Wafa Boulagouas and J. M. Gutiérrez and Miguel Angel MARISCAL SALDAÑA}, title={Assessment of the Influence of Technology-Based Distracted Driving on Drivers’ Infractions and Their Subsequent Impact on Traffic Accidents Severity}, journal={International Journal of Environmental Research and Public Health}, year={2021}, doi={10.3390/ijerph18137155}}",,Revista Científica (Journal),International Journal of Environmental Research and Public Health,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,No especificado
177,Machine Learning Techniques to Identify Unsafe Driving Behavior by Means of In-Vehicle Sensor Data,"E. Lattanzi, V. Freschi",2021,10.1016/j.eswa.2021.114818,,"SVM, Machine Learning",,,,,,,,"Machine learning techniques, such as Support Vector Machines and feed-forward neural networks, can accurately identify unsafe driving behavior using in-vehicle sensor data, with an average accuracy of over 90%.","@article{lattanzi2021machine, author={E. Lattanzi and V. Freschi}, title={Machine Learning Techniques to Identify Unsafe Driving Behavior by Means of In-Vehicle Sensor Data}, journal={Expert Syst. Appl.}, year={2021}, doi={10.1016/j.eswa.2021.114818}}",,Revista Científica (Journal),Expert Syst. Appl.,Machine Learning (ML),No especificado,Otras Metodologías,Machine Learning (ML),2020 - 2022,No especificado,No especificado,No especificado
178,Real-Time Driving Distraction Recognition Through a Wrist-Mounted Accelerometer,"Ziyang Xie, Li Li, Xu Xu",2021,10.1177/0018720821995000,Background: Distracted driving results in thousands of fatal vehicle accidents every year. Recognizing distraction using body-worn sensors may help mitigate driver distraction and consequently improve road safety.,"CNN (Redes Convolucionales), LSTM",,Simulador de conducción / Entorno virtual,,,,Results: The results indicated that a convolutional long short-term memory (ConvLSTM) deep neural network outperformed a convolutional neural network (CNN) and recursive neural network with long short-term memory (LSTM) for recognizing distracted driving behaviors.,,"Wrist-worn accelerometers and ConvLSTM deep neural networks can effectively recognize driving distractions, potentially improving transportation safety.","@article{xie2021realtime, author={Ziyang Xie and Li Li and Xu Xu}, title={Real-Time Driving Distraction Recognition Through a Wrist-Mounted Accelerometer}, journal={Human Factors: The Journal of Human Factors and Ergonomics Society}, year={2021}, doi={10.1177/0018720821995000}}",,Revista Científica (Journal),Human Factors: The Journal of Human Factors and Ergonomics Society,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Otros,No especificado,No especificado
